"client_tk","disp_bk","district_tk","total_amount","total_paid_finished","total_unpaid_finished","total_paid_unfinished","total_unpaid_unfinished"
"5192","28754","76","36396","1","0","0","0"
"4753","28315","63","106944","0","0","1","0"
"5020","28582","50","220440","0","0","1","0"
"4787","28349","53","110112","1","0","0","0"
"5238","28800","2","331560","0","0","1","0"
"3592","27154","39","253560","0","0","1","0"
"74","23636","16","165960","1","0","0","0"
"5305","28867","11","260028","1","0","0","0"
"2074","25636","28","385584","0","0","1","0"
"4918","28480","31","72408","0","1","0","0"
"4648","28210","64","164196","0","0","1","0"
"4821","28383","47","240528","0","0","1","0"
"4984","28546","17","152160","0","0","1","0"
"4981","28543","49","63360","0","0","1","0"
"5120","28682","70","33144","1","0","0","0"
"4936","28498","16","60156","0","1","0","0"
"5286","28848","60","54396","0","0","1","0"
"4194","27756","64","444864","0","0","1","0"
"406","23968","72","42816","0","0","1","0"
"5108","28670","1","288360","0","0","1","0"
"4867","28429","14","232560","0","0","1","0"
"4454","28016","37","133848","0","0","1","0"
"5320","28882","16","140688","0","0","1","0"
"5215","28777","1","76416","1","0","0","0"
"5133","28695","63","186300","0","0","1","0"
"2759","26321","33","17952","0","0","1","0"
"4962","28524","38","96768","0","0","1","0"
"384","23946","42","331584","0","0","1","0"
"4849","28411","15","140880","0","0","1","0"
"394","23956","46","468060","0","0","1","0"
"1079","24641","37","284280","0","0","1","0"
"4917","28479","48","181020","0","0","1","0"
"4832","28394","44","149340","0","0","1","0"
"5357","28919","5","67320","0","0","1","0"
"4774","28336","67","335184","0","0","0","1"
"4945","28507","72","137880","0","0","0","1"
"2020","25582","28","248148","1","0","0","0"
"891","24453","21","156096","0","0","1","0"
"4986","28548","70","73260","0","0","1","0"
"5283","28845","22","260640","0","0","0","1"
"4903","28465","74","59760","1","0","0","0"
"4797","28359","1","323472","1","0","0","0"
"4192","27754","1","316140","0","0","0","1"
"5202","28764","59","18324","1","0","0","0"
"5114","28676","46","185640","0","0","1","0"
"4874","28436","1","31176","1","0","0","0"
"2567","26129","73","139464","0","0","0","1"
"4822","28384","40","300660","0","0","1","0"
"2277","25839","1","205200","1","0","0","0"
"1589","25151","34","125472","0","0","1","0"
"5057","28619","74","140400","1","0","0","0"
"3419","26981","66","88608","0","0","1","0"
"4690","28252","17","97224","1","0","0","0"
"4509","28071","1","63576","0","0","1","0"
"5030","28592","19","189696","1","0","0","0"
"4768","28330","26","59136","0","0","1","0"
"3362","26924","3","504000","0","0","1","0"
"5288","28850","45","60000","0","0","1","0"
"4959","28521","36","475680","0","0","1","0"
"3697","27259","64","39024","1","0","0","0"
"109","23671","74","102876","1","0","0","0"
"3650","27212","29","222180","0","0","0","1"
"3720","27282","74","68124","1","0","0","0"
"5247","28809","1","218064","0","0","1","0"
"4942","28504","35","127200","0","0","1","0"
"5036","28598","35","68112","1","0","0","0"
"2458","26020","42","23328","0","0","1","0"
"404","23966","1","187224","0","1","0","0"
"4876","28438","70","123600","0","0","1","0"
"3812","27374","3","19248","1","0","0","0"
"5080","28642","31","224604","1","0","0","0"
"4864","28426","1","99216","0","0","1","0"
"4453","28015","52","334620","0","0","1","0"
"2809","26371","65","200976","0","0","1","0"
"4674","28236","69","90156","1","0","0","0"
"3958","27520","16","140688","0","0","1","0"
"4708","28270","60","192744","1","0","0","0"
"3811","27373","3","19248","1","0","0","0"
"5301","28863","2","208332","0","0","1","0"
"4884","28446","15","87216","0","1","0","0"
"4904","28466","34","247920","0","0","1","0"
"1876","25438","6","64224","0","0","1","0"
"2592","26154","13","230220","0","0","1","0"
"624","24186","32","91152","1","0","0","0"
"5162","28724","28","215040","0","0","1","0"
"5115","28677","60","240900","0","0","1","0"
"4943","28505","5","95400","1","0","0","0"
"4141","27703","48","158760","0","0","1","0"
"5008","28570","21","191880","0","0","1","0"
"5294","28856","55","417600","0","0","1","0"
"5175","28737","74","285240","0","0","1","0"
"5015","28577","68","170448","0","0","1","0"
"2599","26161","1","20196","0","0","1","0"
"5363","28925","54","280440","0","0","1","0"
"5074","28636","29","97980","0","0","1","0"
"5035","28597","33","91584","1","0","0","0"
"2217","25779","70","55632","0","0","1","0"
"5367","28929","61","54024","1","0","0","0"
"4843","28405","57","349392","0","0","1","0"
"1248","24810","54","385104","0","0","1","0"
"4882","28444","3","65184","1","0","0","0"
"4913","28475","26","79920","0","0","1","0"
"119","23681","21","352704","0","0","1","0"
"5132","28694","1","566640","0","0","1","0"
"4695","28257","39","73836","1","0","0","0"
"5323","28885","65","113544","0","0","1","0"
"364","23926","15","66840","0","0","1","0"
"5250","28812","17","91632","1","0","0","0"
"4894","28456","24","321360","0","0","1","0"
"4989","28551","1","80952","1","0","0","0"
"4979","28541","5","155640","1","0","0","0"
"4953","28515","60","49320","0","0","1","0"
"4464","28026","8","96984","0","0","1","0"
"5063","28625","67","220428","0","0","1","0"
"4941","28503","16","22968","0","0","1","0"
"3111","26673","2","93888","0","0","1","0"
"5086","28648","51","309660","0","0","1","0"
"5249","28811","17","91632","1","0","0","0"
"4069","27631","50","174960","0","0","1","0"
"3839","27401","74","146064","0","0","1","0"
"2366","25928","37","271260","0","0","1","0"
"5170","28732","11","164256","0","0","1","0"
"4785","28347","1","165168","0","0","1","0"
"926","24488","16","24312","1","0","0","0"
"203","23765","71","27456","1","0","0","0"
"4585","28147","52","158976","0","0","1","0"
"3564","27126","38","123216","0","0","1","0"
"4920","28482","1","110136","1","0","0","0"
"437","23999","68","230400","0","0","1","0"
"4621","28183","62","405780","0","0","1","0"
"2167","25729","6","57360","0","1","0","0"
"4777","28339","42","98832","0","0","1","0"
"3118","26680","52","69624","0","0","1","0"
"898","24460","54","208128","0","1","0","0"
"4741","28303","27","64656","0","0","1","0"
"5194","28756","7","225504","0","0","1","0"
"2854","26416","51","165120","0","0","1","0"
"5333","28895","25","18720","0","0","1","0"
"5110","28672","68","76680","1","0","0","0"
"5258","28820","1","231696","1","0","0","0"
"5104","28666","23","74688","1","0","0","0"
"3160","26722","11","111384","1","0","0","0"
"4779","28341","43","359760","0","0","1","0"
"3773","27335","1","276084","0","0","1","0"
"1048","24610","72","309552","0","0","1","0"
"4915","28477","12","17508","1","0","0","0"
"1691","25253","41","123300","0","0","1","0"
"931","24493","5","538500","0","0","1","0"
"5314","28876","46","339168","0","0","1","0"
"930","24492","40","48624","1","0","0","0"
"1613","25175","19","125472","0","0","1","0"
"5220","28782","76","88200","0","0","1","0"
"4573","28135","57","84288","0","0","1","0"
"5121","28683","70","33144","1","0","0","0"
"4857","28419","5","285600","0","0","1","0"
"4148","27710","53","14028","1","0","0","0"
"2699","26261","28","156672","1","0","0","0"
"5303","28865","1","45720","0","0","1","0"
"4746","28308","1","66696","0","0","1","0"
"5178","28740","68","39576","1","0","0","0"
"5011","28573","62","320592","0","0","1","0"
"4641","28203","77","41988","0","0","1","0"
"5082","28644","13","87840","1","0","0","0"
"5021","28583","13","45456","0","0","1","0"
"4965","28527","51","288720","0","0","1","0"
"5177","28739","68","39576","1","0","0","0"
"5017","28579","46","390096","0","0","1","0"
"5319","28881","34","67464","1","0","0","0"
"357","23919","14","91248","0","0","1","0"
"4865","28427","42","103680","0","0","0","1"
"4811","28373","77","173808","1","0","0","0"
"4840","28402","5","174744","0","1","0","0"
"3438","27000","42","390000","0","0","1","0"
"2","23564","1","80952","1","0","0","0"
"4775","28337","5","76080","1","0","0","0"
"4739","28301","57","300204","1","0","0","0"
"4781","28343","60","150180","0","0","1","0"
"4763","28325","66","465072","0","0","1","0"
"5255","28817","62","167100","0","0","1","0"
"5236","28798","27","300600","0","0","1","0"
"5002","28564","54","590820","0","0","1","0"
"5199","28761","1","228276","0","0","1","0"
"5131","28693","1","566640","0","0","1","0"
"897","24459","39","73056","0","0","1","0"
"4929","28491","7","38496","0","0","1","0"
"4577","28139","36","106128","0","0","1","0"
"4281","27843","1","18564","1","0","0","0"
"395","23957","46","468060","0","0","1","0"
"5076","28638","1","80340","1","0","0","0"
"5184","28746","59","188616","0","0","1","0"
"4972","28534","55","48672","1","0","0","0"
"3698","27260","1","77184","0","0","1","0"
"3085","26647","73","231168","0","0","1","0"
"2689","26251","70","49440","0","0","1","0"
"4760","28322","54","204780","0","0","1","0"
"2164","25726","32","162468","0","0","1","0"
"4714","28276","17","86184","0","0","1","0"
"3232","26794","11","50460","0","0","1","0"
"4769","28331","15","21396","1","0","0","0"
"4978","28540","77","49872","0","0","1","0"
"4733","28295","68","81144","0","0","1","0"
"2855","26417","51","165120","0","0","1","0"
"5271","28833","54","75624","0","1","0","0"
"3988","27550","9","44088","1","0","0","0"
"4902","28464","74","59760","1","0","0","0"
"4974","28536","12","74124","0","0","1","0"
"1432","24994","13","148140","0","0","1","0"
