"card_bk","type","issued","disp_id","card_tk","version","date_from","date_to","last_update"
"0",NULL,NULL,NULL,"0","1","1000-01-01 00:00:00","1000-01-01 00:00:00",NULL
"1005","classic","1993-11-07","28586","1","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.725"
"104","classic","1994-01-19","24124","2","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.725"
"747","classic","1994-02-05","28146","3","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.725"
"70","classic","1994-02-08","23981","4","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.741"
"577","classic","1994-02-15","27056","5","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.741"
"377","classic","1994-03-03","25865","6","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.741"
"721","junior","1994-04-05","27986","7","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.741"
"437","classic","1994-06-01","26175","8","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.741"
"188","classic","1994-06-19","24653","9","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.741"
"13","classic","1994-06-29","23645","10","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.756"
"732","classic","1994-07-21","28066","11","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.756"
"181","classic","1994-08-19","24574","12","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.756"
"384","junior","1994-09-15","25909","13","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.756"
"309","classic","1994-09-19","25398","14","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.756"
"478","classic","1994-10-09","26482","15","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.756"
"563","classic","1994-10-21","26964","16","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.772"
"369","classic","1994-11-08","25799","17","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.772"
