"district_bk","district_name","region","inhabitants","municipalities1","municipalities2","municipalities3","municipalities4","cities","ratio_of_urban","salary","unemployment95","unemployment96","enterpreneurs","crimes95","crimes96","district_tk","version","date_from","date_to","last_update"
"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","1","1000-01-01 00:00:00","1000-01-01 00:00:00",NULL
"1","Hl.m. Praha","Prague",1204953,0,0,0,1,1,"100",12541,"0.29","0.43",167,85677,99107,"1","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.514"
"2","Benesov","central Bohemia",88884,80,26,6,2,5,"47",8507,"1.67","1.85",132,2159,2674,"2","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.529"
"3","Beroun","central Bohemia",75232,55,26,4,1,5,"42",8980,"1.95","2.21",111,2824,2813,"3","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.529"
"4","Kladno","central Bohemia",149893,63,29,6,2,6,"67",9753,"4.64","5.05",109,5244,5892,"4","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.529"
"5","Kolin","central Bohemia",95616,65,30,4,1,6,"51",9307,"3.85","4.43",118,2616,3040,"5","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.529"
"6","Kutna Hora","central Bohemia",77963,60,23,4,2,4,"52",8546,"2.95","4.02",126,2640,3120,"6","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.529"
"7","Melnik","central Bohemia",94725,38,28,1,3,6,"63",9920,"2.26","2.87",130,4289,4846,"7","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.529"
"8","Mlada Boleslav","central Bohemia",112065,95,19,7,1,8,"69",11277,"1.25","1.44",127,5179,4987,"8","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.529"
"9","Nymburk","central Bohemia",81344,61,23,4,2,6,"55",8899,"3.39","3.97",149,2987,2487,"9","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.529"
"10","Praha - vychod","central Bohemia",92084,55,29,4,3,5,"47",10124,"0.56","0.54",141,3810,4316,"10","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"11","Praha - zapad","central Bohemia",75637,35,36,9,0,7,"36",9622,"0.45","0.59",154,3475,3529,"11","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"12","Pribram","central Bohemia",107870,84,29,6,1,6,"58",8754,"3.83","4.31",137,3804,3868,"12","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"13","Rakovnik","central Bohemia",53921,61,22,1,1,2,"41",8598,"2.77","3.26",123,1597,1875,"13","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"14","Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,"75",10045,"1.42","1.71",135,6604,6295,"14","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"15","Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,"52",9045,"3.13","3.6",124,1845,1879,"15","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"16","Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,"57",8427,"1.12","1.54",107,1874,1913,"16","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"17","Pelhrimov","south Bohemia",74062,99,15,4,2,7,"61",8114,"2.38","2.62",119,1003,1181,"17","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"18","Pisek","south Bohemia",70699,60,13,2,1,4,"65",8968,"2.83","3.35",131,1740,1910,"18","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"19","Prachatice","south Bohemia",51428,50,11,3,1,4,"53",8402,"3.13","3.98",120,999,1099,"19","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"20","Strakonice","south Bohemia",70646,94,14,3,1,4,"58",8547,"2.65","3.64",120,1563,1542,"20","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"21","Tabor","south Bohemia",103347,87,16,7,1,7,"67",9104,"1.51","2.07",123,2299,2354,"21","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"22","Domazlice","west Bohemia",58400,65,16,4,1,6,"52",8620,"1.1","1.25",100,1089,1117,"22","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"23","Cheb","west Bohemia",87419,21,11,4,3,9,"86",8624,"1.79","2.66",102,2879,3198,"23","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"24","Karlovy Vary","west Bohemia",122603,25,21,6,2,8,"80",8991,"1.39","2.01",128,5198,5273,"24","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"25","Klatovy","west Bohemia",88757,60,33,3,2,10,"62",8554,"2.47","2.68",113,1822,2218,"25","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.545"
"26","Plzen - mesto","west Bohemia",170449,0,0,0,1,1,"100",10787,"2.64","3.09",131,6041,6261,"26","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"27","Plzen - jih","west Bohemia",67298,71,19,10,0,7,"44",8561,"0.65","1.29",110,1029,1127,"27","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
